id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
46,3.005000e-07,1.693118e-01,3.500619e-03,-2.893134e-01,8.621491e-01,-2.058733e-04,5.066546e-01,1.000000e+00
47,3.005000e-07,-9.312071e-02,8.780702e-03,-3.221472e-01,9.604757e-01,-3.162353e-04,-2.783637e-01,1.000000e+00
48,3.005000e-07,-1.754753e-01,1.108844e-02,-2.858311e-01,8.518129e-01,-3.597050e-04,-5.238460e-01,1.000000e+00
49,3.005000e-07,3.135525e-01,7.052143e-05,-1.169587e-01,3.468103e-01,-1.222153e-04,9.379353e-01,1.000000e+00
50,3.005000e-07,3.020663e-02,6.069239e-03,-3.341730e-01,9.958434e-01,-2.627114e-04,9.108142e-02,1.000000e+00
51,3.005000e-07,3.335933e-01,-1.736985e-03,1.604846e-02,-5.161568e-02,-7.384025e-05,9.986670e-01,1.000000e+00
52,3.005000e-07,6.487306e-02,5.653551e-03,-3.290035e-01,9.806907e-01,-2.520116e-04,1.955651e-01,1.000000e+00
53,3.005000e-07,3.143428e-01,1.870132e-04,-1.147185e-01,3.399827e-01,-1.240671e-04,9.404317e-01,1.000000e+00
54,3.005000e-07,-8.167390e-02,8.393781e-03,-3.251597e-01,9.694131e-01,-3.098646e-04,-2.454346e-01,1.000000e+00
55,3.005000e-07,2.272873e-01,2.325593e-03,-2.463076e-01,7.330444e-01,-1.780453e-04,6.801808e-01,1.000000e+00
56,3.005000e-07,1.489753e-01,4.288375e-03,-3.000948e-01,8.946018e-01,-2.203277e-04,4.468642e-01,1.000000e+00
57,3.005000e-07,5.556479e-03,6.961543e-03,-3.353972e-01,9.998581e-01,-2.786725e-04,1.684519e-02,1.000000e+00
58,3.005000e-07,-3.065734e-02,7.633676e-03,-3.340844e-01,9.959373e-01,-2.928720e-04,-9.004862e-02,1.000000e+00
59,3.005000e-07,-1.465570e-01,1.044098e-02,-3.017199e-01,8.995944e-01,-3.464119e-04,-4.367262e-01,1.000000e+00
